T,imv,strike
0.0,9.097660563964844,1200.0
0.0,7.962890671386719,1400.0
0.0,9.89819717300415,1600.0
0.0,5.344729881591796,2000.0
0.0,4.642582321777344,2200.0
0.0,2.441410146484375,2800.0
0.0,2.132328887939453,3000.0
0.0,1.6623552038574219,3200.0
0.0,1.6184101110839846,3300.0
0.0,0.867188828125,3450.0
0.0,1.0556687841796877,3500.0
0.0,0.8470474279785156,3600.0
0.0,0.5029346582031251,3650.0
0.0,0.6048013153076173,3700.0
0.0,0.6315954809570312,3710.0
0.0,0.5280808911132813,3720.0
0.0,0.5296677893066408,3750.0
0.0,0.4721732470703125,3770.0
0.0,0.4085752502441406,3780.0
0.0,0.5073291455078125,3785.0
0.0,0.4445856323242187,3790.0
0.0,0.46698531066894533,3795.0
0.0,0.40442490112304685,3800.0
0.0,0.37854625366210937,3805.0
0.0,0.32971861694335935,3810.0
0.0,0.3028023822021484,3820.0
0.0,0.30445031494140623,3825.0
0.0,0.2401199035644531,3830.0
0.0,0.2048419360351562,3835.0
0.0,0.21472953247070312,3840.0
0.0,0.21875781249999998,3845.0
0.0,0.21921557159423827,3850.0
0.0,0.22861489166259769,3855.0
0.0,0.1769796658325195,3860.0
0.0,0.19690744506835936,3865.0
0.0,0.18256432678222656,3870.0
0.0,0.1330042755126953,3875.0
0.0,0.15192498474121097,3880.0
0.0,0.07264110961914064,3885.0
0.0,0.09220268157958984,3890.0
0.0,0.08155215332031251,3895.0
0.0,0.05097384582519532,3900.0
0.0,0.05057712127685547,3905.0
0.0,0.0481967739868164,3910.0
0.0,0.04108624938964843,3915.0
0.0,0.043710734863281246,3920.0
0.0,0.043954873046874995,3925.0
0.0,0.053720400390625006,3930.0
0.0,0.0629976513671875,3935.0
0.0,0.07227490234375,3940.0
0.0,0.081063876953125,3945.0
0.0,0.1043790734863281,3950.0
0.0,0.098641826171875,3955.0
0.0,0.10743080078125,3960.0
0.0,0.116219775390625,3965.0
0.0,0.1245204736328125,3970.0
0.0,0.132821171875,3975.0
0.0,0.141610146484375,3980.0
0.0,0.17115086669921875,3985.0
0.0,0.15821154296875,3990.0
0.0,0.16602396484375004,3995.0
0.0,0.174812939453125,4000.0
0.0,0.18262536132812499,4005.0
0.0,0.19043778320312502,4010.0
0.0,0.198250205078125,4015.0
0.0,0.20703917968749996,4020.0
0.0,0.2148516015625,4025.0
0.0,0.22266402343749997,4030.0
0.0,0.2304764453125,4035.0
0.0,0.23828886718749998,4040.0
0.0,0.2461012890625,4045.0
0.0,0.25391371093750004,4050.0
0.0,0.12500875,4055.0
0.0,0.12500875,4060.0
0.0,0.12500875,4065.0
0.0,0.12500875,4070.0
0.0,0.2919992675781249,4075.0
0.0,0.299811689453125,4080.0
0.0,0.30762411132812495,4085.0
0.0,0.31445998046874996,4090.0
0.0,0.32227240234374993,4095.0
0.0,0.33008482421874996,4100.0
0.0,0.336920693359375,4105.0
0.0,0.2500075,4110.0
0.0,0.2500075,4115.0
0.0,0.35938140625,4120.0
0.0,0.2500075,4125.0
0.0,0.2500075,4130.0
0.0,0.2500075,4135.0
0.0,0.2500075,4140.0
0.0,0.2500075,4145.0
0.0,0.40332627929687503,4150.0
0.0,0.4101621484375,4155.0
0.0,0.41797457031249996,4160.0
0.0,0.424810439453125,4165.0
0.0,0.2500075,4170.0
0.0,0.43945873046875,4175.0
0.0,0.446294599609375,4180.0
0.0,0.45313046875,4185.0
0.0,0.46094289062500005,4190.0
0.0,0.467778759765625,4195.0
0.0,0.47461462890625,4200.0
0.0,0.48242705078125003,4205.0
0.0,0.48828636718750007,4210.0
0.0,0.49609878906250005,4215.0
0.0,0.5029346582031251,4220.0
0.0,0.5097705273437501,4225.0
0.0,0.2500075,4230.0
0.0,0.2500075,4235.0
0.0,0.2500075,4240.0
0.0,0.2500075,4245.0
0.0,0.2500075,4250.0
0.0,0.5195360546875,4255.0
0.0,0.5273484765625001,4260.0
0.0,0.2500075,4265.0
0.0,0.5390671093750001,4270.0
0.0,0.2500075,4275.0
0.0,0.55273884765625,4280.0
0.0,0.5585981640625001,4285.0
0.0,0.2500075,4290.0
0.0,0.2500075,4295.0
0.0,0.57812921875,4300.0
0.0,0.585941640625,4305.0
0.0,0.5898478515625001,4310.0
0.0,0.5976602734375001,4315.0
0.0,0.2500075,4320.0
0.0,0.6093789062500001,4325.0
0.0,0.500005,4330.0
0.0,0.6250037500000001,4335.0
0.0,0.6289099609375001,4340.0
0.0,0.6367223828125,4345.0
0.0,0.64062859375,4350.0
0.0,0.648441015625,4355.0
0.0,0.6562534375000001,4360.0
0.0,0.6601596484375001,4365.0
0.0,0.6679720703125002,4370.0
0.0,0.6718782812500002,4375.0
0.0,0.6796907031250001,4380.0
0.0,0.6914093359375001,4390.0
0.0,0.70312796875,4400.0
0.0,0.7187528125,4410.0
0.0,0.7304714453125,4420.0
0.0,0.73437765625,4425.0
0.0,0.7656273437500001,4450.0
0.0,0.8242205078124999,4500.0
0.0,0.8828136718749999,4550.0
0.0,0.945313046875,4600.0
0.0,1.0546922265625,4700.0
0.0,1.1640666796875,4800.0
0.0,1.3750031249999999,5000.0
0.0,1.5781271093749998,5200.0
0.0,1.765626171875,5400.0
0.0027,7.082032397460939,1200.0
0.0027,1.3984405078125,3000.0
0.0027,0.7207669525146485,3550.0
0.0027,0.3980773083496094,3700.0
0.0027,0.3343572424316406,3730.0
0.0027,0.2843089147949218,3800.0
0.0027,0.26129889099121095,3815.0
0.0027,0.2629163064575196,3820.0
0.0027,0.2470473245239258,3825.0
